Protein Name,UniProt Accession,Accession (without isoform number),Gene Name,BPA ,P value,E2,P value,PCB,P value,Pht,P value,EntrezGene
Density-regulated protein  ,sp|Q9CQJ6|DENR_MOUSE,Q9CQJ6,Denr,0.01,0.966,0.12,0.864,-0.38,0.408,-0.29,0.573,68184
Deoxycytidine kinase  ,sp|P43346|DCK_MOUSE,P43346,Dck,0.07,0.757,0.21,0.521,0.18,0.652,-0.38,0.851,13178
"Deoxyguanosine kinase, mitochondrial  ",sp|Q9QX60|DGUOK_MOUSE,Q9QX60,Dguok,0.58,0.038,0.4,0.029,0.37,0.172,0.19,0.859,27369
Deoxyhypusine hydroxylase  ,sp|Q99LN9|DOHH_MOUSE,Q99LN9,Dohh,0.06,0.878,-0.06,0.379,0.23,0.604,0.18,0.582,102115
Deoxynucleotidyltransferase terminal-interacting protein 2  ,sp|Q8R2M2|TDIF2_MOUSE,Q8R2M2,Dnttip2,-0.22,0.346,0.13,0.711,0.03,0.9,0.07,0.923,99480
Deoxyribonuclease-2-alpha  ,sp|P56542|DNS2A_MOUSE,P56542,Dnase2,0.25,0.206,0.24,0.168,0.19,0.645,0.39,0.176,13423
Deoxyribonucleoside 5'-monophosphate N-glycosidase  ,sp|Q80VJ3|RCL_MOUSE,Q80VJ3,Dnph1,0.03,0.905,-0.19,0.231,-0.06,0.674,-0.07,0.849,381101
DEP domain-containing mTOR-interacting protein  ,sp|Q570Y9|DPTOR_MOUSE,Q570Y9,Deptor,-0.17,0.478,0.22,0.576,0.31,0.143,0.4,0.516,97998
Dephospho-CoA kinase domain-containing protein  ,sp|Q8BHC4|DCAKD_MOUSE,Q8BHC4,Dcakd,-0.03,0.88,-0.12,0.392,-0.8,0.008,-0.43,0.013,68087
Desmin  ,sp|P31001|DESM_MOUSE,P31001,Des,1.1,0.193,0.73,0.411,0.96,0.438,0.92,0.92,13346
Desmoglein-2  ,sp|O55111|DSG2_MOUSE,O55111,Dsg2,-0.12,0.493,-0.07,0.504,0.01,0.333,0.23,0.606,13511
Desmoplakin  ,sp|E9Q557|DESP_MOUSE,E9Q557,Dsp,-0.27,0.112,-0.55,0.032,0.03,0.678,0.18,0.836,109620
Destrin  ,sp|Q9R0P5|DEST_MOUSE,Q9R0P5,Dstn,-0.32,0.265,-0.46,0.055,-0.5,0.352,-0.61,0.713,56431
Deubiquitinating protein VCIP135  ,sp|Q8CDG3|VCIP1_MOUSE,Q8CDG3,Vcpip1,-0.02,0.908,0.03,0.729,0.3,0.506,0.38,0.574,70675
Developmentally-regulated GTP-binding protein 1  ,sp|P32233|DRG1_MOUSE,P32233,Drg1,0,0.994,0.28,0.145,0.2,0.38,-0.33,0.439,13494
Developmentally-regulated GTP-binding protein 2  ,sp|Q9QXB9|DRG2_MOUSE,Q9QXB9,Drg2,-0.07,0.725,0.01,0.562,-0.6,0.679,-1.06,0.565,13495
"Diablo homolog, mitochondrial  ",sp|Q9JIQ3|DBLOH_MOUSE,Q9JIQ3,Diablo,-0.11,0.564,0.15,0.742,-0.37,0.367,-0.11,0.848,66593
Diacylglycerol kinase zeta  ,sp|Q80UP3|DGKZ_MOUSE,Q80UP3,Dgkz,0.15,0.626,-0.03,0.845,0.27,0.378,0.16,0.666,104418
Differentially expressed in FDCP 6  ,sp|Q8C2K1|DEFI6_MOUSE,Q8C2K1,Def6,0.96,0.035,0.61,0.122,0.6,0.248,0.5,0.743,23853
Dihydrofolate reductase  ,sp|P00375|DYR_MOUSE,P00375,Dhfr,-0.21,0.22,0.14,0.376,0.16,0.814,0.57,0.34,13361
"Dihydrolipoyl dehydrogenase, mitochondrial  ",sp|O08749|DLDH_MOUSE,O08749,Dld,-0.1,0.87,-0.11,0.909,0.34,0.865,0.66,0.788,13382
"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial  ",sp|Q8BMF4|ODP2_MOUSE,Q8BMF4,Dlat,-0.16,0.679,-0.24,0.823,0.14,0.655,0.14,0.282,235339
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial  ",sp|Q9D2G2|ODO2_MOUSE,Q9D2G2,Dlst,-0.44,0.617,0.07,0.515,0.56,0.271,0.37,0.611,78920
Dihydropyrimidinase-related protein 2  ,sp|O08553|DPYL2_MOUSE,O08553,Dpysl2,-0.34,0.128,-0.62,0.05,-0.1,0.76,-0.3,0.286,12934
Dihydropyrimidinase-related protein 3  ,sp|Q62188|DPYL3_MOUSE,Q62188,Dpysl3,-0.37,0.076,-1.12,0.001,-0.05,0.313,0.09,0.719,22240
Dihydropyrimidinase-related protein 5  ,sp|Q9EQF6|DPYL5_MOUSE,Q9EQF6,Dpysl5,-0.22,0.197,-0.02,0.867,-0.1,0.214,0.38,0.819,65254
Dihydroxyacetone phosphate acyltransferase  ,sp|P98192|GNPAT_MOUSE,P98192,Gnpat,0.19,0.263,0.01,0.52,0.08,0.463,-0.07,0.713,14712
Dipeptidyl peptidase 1  ,sp|P97821|CATC_MOUSE,P97821,Ctsc,-0.22,0.229,0.09,0.816,-0.21,0.336,-0.22,0.13,13032
Dipeptidyl peptidase 2  ,sp|Q9ET22|DPP2_MOUSE,Q9ET22,Dpp7,0.16,0.374,0.14,0.627,0.38,0.565,0.67,0.119,83768
Dipeptidyl peptidase 3  ,sp|Q99KK7|DPP3_MOUSE,Q99KK7,Dpp3,-0.06,0.693,-0.15,0.368,-0.36,0.968,-0.61,0.386,75221
Dipeptidyl peptidase 9  ,sp|Q8BVG4|DPP9_MOUSE,Q8BVG4,Dpp9,0.09,0.611,0.06,0.19,-0.12,0.163,0.24,0.426,224897
Diphosphoinositol polyphosphate phosphohydrolase 1  ,sp|Q9JI46|NUDT3_MOUSE,Q9JI46,Nudt3,-0.1,0.748,0.2,0.746,-0.89,0.363,-1.07,0.196,56409
Diphosphoinositol polyphosphate phosphohydrolase 2  ,sp|Q8R2U6|NUDT4_MOUSE,Q8R2U6,Nudt4,0.03,0.842,-0.01,0.902,0.1,0.937,0.16,0.729,71207
Diphosphomevalonate decarboxylase  ,sp|Q99JF5|MVD1_MOUSE,Q99JF5,Mvd,0.02,0.9,-0.06,0.862,0.36,0.203,0.3,0.214,192156
Diphthamide biosynthesis protein 2  ,sp|Q9CR25|DPH2_MOUSE,Q9CR25,Dph2,0.58,0.081,0.26,0.453,0.62,0.111,0.48,0.454,67728
Diphthine synthase  ,sp|Q9CWQ0|DPH5_MOUSE,Q9CWQ0,Dph5,0.27,0.148,0.18,0.44,0.27,0.249,0.09,0.886,69740
DIS3-like exonuclease 2  ,sp|Q8CI75|DI3L2_MOUSE,Q8CI75,Dis3l2,0.35,0.217,0.04,0.235,0.54,0.029,0.73,0.058,208718
Disco-interacting protein 2 homolog B  ,sp|Q3UH60|DIP2B_MOUSE,Q3UH60,Dip2b,0.3,0.097,0.68,0.016,0.06,0.486,0.08,0.707,239667
Disintegrin and metalloproteinase domain-containing protein 10  ,sp|O35598|ADA10_MOUSE,O35598,Adam10,0.09,0.638,-0.12,0.595,0.18,0.703,0.22,0.945,11487
DNA damage-binding protein 1  ,sp|Q3U1J4|DDB1_MOUSE,Q3U1J4,Ddb1,-0.04,0.824,-0.04,0.96,-0.45,0.343,-0.61,0.18,13194
DNA fragmentation factor subunit alpha  ,sp|O54786|DFFA_MOUSE,O54786,Dffa,0.41,0.123,0.32,0.445,0.61,0.213,0.11,0.242,13347
DNA ligase 1  ,sp|P37913|DNLI1_MOUSE,P37913,Lig1,0,0.982,0.34,0.477,0.02,0.247,-0.17,0.292,16881
DNA mismatch repair protein Mlh1  ,sp|Q9JK91|MLH1_MOUSE,Q9JK91,Mlh1,0,0.991,0.03,0.749,0.07,0.819,0.12,0.592,17350
DNA mismatch repair protein Msh2  ,sp|P43247|MSH2_MOUSE,P43247,Msh2,0.23,0.328,0.36,0.243,-0.02,0.462,-0.39,0.795,17685
DNA mismatch repair protein Msh6  ,sp|P54276|MSH6_MOUSE,P54276,Msh6,0.12,0.601,0.18,0.086,0.7,0.02,0.47,0.82,17688
DNA polymerase alpha catalytic subunit  ,sp|P33609|DPOLA_MOUSE,P33609,Pola1,0.13,0.503,0.37,0.291,0.01,0.795,-0.19,0.301,18968
DNA polymerase alpha subunit B  ,sp|P33611|DPOA2_MOUSE,P33611,Pola2,-0.11,0.642,-0.07,0.631,-0.23,0.583,-0.29,0.952,18969
DNA polymerase beta  ,sp|Q8K409|DPOLB_MOUSE,Q8K409,Polb,0.26,0.289,0.06,0.59,0.5,0.19,0.56,0.13,18970
DNA polymerase delta catalytic subunit  ,sp|P52431|DPOD1_MOUSE,P52431,Pold1,0.36,0.138,0.66,0.025,0.45,0.039,0.06,0.738,18971
DNA polymerase delta subunit 2  ,sp|O35654|DPOD2_MOUSE,O35654,Pold2,-0.16,0.478,-0.15,0.794,0.27,0.897,0.01,0.213,18972
DNA polymerase delta subunit 3  ,sp|Q9EQ28|DPOD3_MOUSE,Q9EQ28,Pold3,0.1,0.619,-0.15,0.921,0.16,0.718,0.12,0.242,67967
DNA polymerase epsilon subunit 3  ,sp|Q9JKP7|DPOE3_MOUSE,Q9JKP7,Pole3,0.12,0.581,0.45,0.636,0.32,0.147,-0.32,0.628,59001
DNA polymerase epsilon subunit 4  ,sp|Q9CQ36|DPOE4_MOUSE,Q9CQ36,Pole4,-0.2,0.455,0.29,0.338,-0.02,0.788,0.08,0.671,66979
DNA primase large subunit  ,sp|P33610|PRI2_MOUSE,P33610,Prim2,0.36,0.105,0.15,0.217,0.34,0.12,0.38,0.219,19076
DNA primase small subunit  ,sp|P20664|PRI1_MOUSE,P20664,Prim1,0.18,0.358,-0.05,0.674,-0.27,0.904,-0.28,0.128,19075
DNA repair protein XRCC1  ,sp|Q60596|XRCC1_MOUSE,Q60596,Xrcc1,0.31,0.238,0.11,0.263,0.22,0.658,0.46,0.339,22594
DNA replication licensing factor MCM2  ,sp|P97310|MCM2_MOUSE,P97310,Mcm2,-0.02,0.904,0.41,0.101,0.02,0.55,0.05,0.45,17216
DNA replication licensing factor MCM3  ,sp|P25206|MCM3_MOUSE,P25206,Mcm3,-0.18,0.332,0.44,0.123,-0.07,0.981,-0.21,0.815,17215
DNA replication licensing factor MCM4  ,sp|P49717|MCM4_MOUSE,P49717,Mcm4,0,0.993,0.41,0.251,0.02,0.278,-0.15,0.491,17217
DNA replication licensing factor MCM6  ,sp|P97311|MCM6_MOUSE,P97311,Mcm6,-0.06,0.7,0.22,0.265,0.02,0.883,-0.19,0.28,17219
DNA replication licensing factor MCM7  ,sp|Q61881|MCM7_MOUSE,Q61881,Mcm7,-0.07,0.779,0.53,0.022,-0.05,0.645,-0.29,0.37,17220
DNA topoisomerase 1  ,sp|Q04750|TOP1_MOUSE,Q04750,Top1,0.76,0.04,0.35,0.037,0.48,0.459,0.66,0.783,21969
DNA topoisomerase 2-alpha  ,sp|Q01320|TOP2A_MOUSE,Q01320,Top2a,0,0.992,-0.1,0.594,0.08,0.657,0.28,0.906,21973
DNA topoisomerase 2-beta  ,sp|Q64511|TOP2B_MOUSE,Q64511,Top2b,0.06,0.811,0.09,0.205,-0.27,0.79,-0.34,0.144,21974
DNA topoisomerase 3-beta-1  ,sp|Q9Z321|TOP3B_MOUSE,Q9Z321,Top3b,0.01,0.981,-0.18,0.498,0.06,0.481,-0.49,0.046,21976
DNA-(apurinic or apyrimidinic site) lyase  ,sp|P28352|APEX1_MOUSE,P28352,Apex1,-0.01,0.959,0.18,0.509,0.08,0.686,-0.05,0.807,11792
DNA-directed RNA polymerase I subunit RPA1  ,sp|O35134|RPA1_MOUSE,O35134,Polr1a,0,0.978,0.07,0.517,0.08,0.845,0.1,0.555,20019
DNA-directed RNA polymerase I subunit RPA2  ,sp|P70700|RPA2_MOUSE,P70700,Polr1b,0.06,0.868,0.19,0.777,0.06,0.772,0.14,0.626,20017
DNA-directed RNA polymerase I subunit RPA43  ,sp|Q78WZ7|RPA43_MOUSE,Q78WZ7,Twistnb,0.36,0.266,-0.52,0.592,0.69,0.278,0.75,0.73,28071
DNA-directed RNA polymerase II subunit RPB1  ,sp|P08775|RPB1_MOUSE,P08775,Polr2a,-0.16,0.405,0,0.903,0.06,0.888,0.18,0.917,20020
DNA-directed RNA polymerase II subunit RPB2  ,sp|Q8CFI7|RPB2_MOUSE,Q8CFI7,Polr2b,-0.24,0.198,-0.12,0.146,-0.26,0.347,-0.33,0.33,231329
DNA-directed RNA polymerase II subunit RPB4  ,sp|Q9D7M8|RPB4_MOUSE,Q9D7M8,Polr2d,-0.47,0.178,-0.18,0.803,0.01,0.556,0.78,0.022,69241
DNA-directed RNA polymerase II subunit RPB7  ,sp|P62488|RPB7_MOUSE,P62488,Polr2g,-0.1,0.802,0.3,0.499,-0.19,0.49,-0.36,0.145,67710
DNA-directed RNA polymerase II subunit RPB9  ,sp|P60898|RPB9_MOUSE,P60898,Polr2i,0.04,0.878,0.21,0.883,0.68,0.531,0.96,0.369,69920
DNA-directed RNA polymerase III subunit RPC3  ,sp|Q9D483|RPC3_MOUSE,Q9D483,Polr3c,-0.19,0.803,0.34,0.424,0.28,0.429,0.24,0.686,74414
DNA-directed RNA polymerase III subunit RPC6  ,sp|Q921X6|RPC6_MOUSE,Q921X6,Polr3f,0.38,0.116,0.64,0.029,0.63,0.032,0.37,0.378,70408
DNA-directed RNA polymerases I and III subunit RPAC1  ,sp|P52432|RPAC1_MOUSE,P52432,Polr1c,-0.04,0.877,0.38,0.422,0.12,0.98,-0.2,0.628,20016
DNA-directed RNA polymerases I and III subunit RPAC2  ,sp|P97304|RPAC2_MOUSE,P97304,Polr1d,0.09,0.736,0,0.835,0.08,0.295,-0.14,0.732,20018
"DNA-directed RNA polymerases I, II, and III subunit RPABC1  ",sp|Q80UW8|RPAB1_MOUSE,Q80UW8,Polr2e,-0.07,0.776,-0.16,0.42,0.05,0.871,0.34,0.566,66420
"DNA-directed RNA polymerases I, II, and III subunit RPABC3  ",sp|Q923G2|RPAB3_MOUSE,Q923G2,Polr2h,0.09,0.862,-0.1,0.763,0.24,0.814,0.47,0.725,245841
"DNA-directed RNA polymerases I, II, and III subunit RPABC5  ",sp|P62876|RPAB5_MOUSE,P62876,Polr2l,0.04,0.823,0.09,0.927,-0.05,0.853,0,0.906,66491
DnaJ homolog subfamily A member 1  ,sp|P63037|DNJA1_MOUSE,P63037,Dnaja1,0.14,0.453,0.22,0.526,0.31,0.069,0.1,0.354,15502
DnaJ homolog subfamily A member 2  ,sp|Q9QYJ0|DNJA2_MOUSE,Q9QYJ0,Dnaja2,-0.03,0.884,-0.04,0.385,-0.01,0.597,-0.12,0.651,56445
DnaJ homolog subfamily A member 4  ,sp|Q9JMC3|DNJA4_MOUSE,Q9JMC3,Dnaja4,0.71,0.287,0.96,0.2,0.21,0.874,0.45,0.755,58233
DnaJ homolog subfamily B member 1  ,sp|Q9QYJ3|DNJB1_MOUSE,Q9QYJ3,Dnajb1,-0.26,0.403,-0.15,0.398,0.03,0.375,0.3,0.798,81489
DnaJ homolog subfamily B member 11  ,sp|Q99KV1|DJB11_MOUSE,Q99KV1,Dnajb11,-0.04,0.848,0.51,0.119,-0.09,0.789,-0.22,0.398,67838
DnaJ homolog subfamily B member 2  ,sp|Q9QYI5|DNJB2_MOUSE,Q9QYI5,Dnajb2,0.18,0.436,0,0.685,0.15,0.792,0.33,0.844,56812
DnaJ homolog subfamily B member 4  ,sp|Q9D832|DNJB4_MOUSE,Q9D832,Dnajb4,-0.14,0.456,0.08,0.826,-0.09,0.314,0.11,0.572,67035
DnaJ homolog subfamily C member 10  ,sp|Q9DC23|DJC10_MOUSE,Q9DC23,Dnajc10,0.32,0.162,0.64,0.152,-0.13,0.457,-0.46,0.698,66861
DnaJ homolog subfamily C member 17  ,sp|Q91WT4|DJC17_MOUSE,Q91WT4,Dnajc17,0,0.977,0,0.986,0.12,0.751,0.11,0.662,69408
DnaJ homolog subfamily C member 2  ,sp|P54103|DNJC2_MOUSE,P54103,Dnajc2,0.27,0.242,0.36,0.025,-0.24,0.769,-1.29,0.119,22791
DnaJ homolog subfamily C member 3  ,sp|Q91YW3|DNJC3_MOUSE,Q91YW3,Dnajc3,-0.11,0.681,0.24,0.292,-0.23,0.775,-0.46,0.685,100037258
DnaJ homolog subfamily C member 7  ,sp|Q9QYI3|DNJC7_MOUSE,Q9QYI3,Dnajc7,0.46,0.083,0.43,0.054,0.44,0.518,0.9,0.409,56354
DnaJ homolog subfamily C member 8  ,sp|Q6NZB0|DNJC8_MOUSE,Q6NZB0,Dnajc8,-0.2,0.348,-0.36,0.05,-0.13,0.111,-0.08,0.23,68598
DnaJ homolog subfamily C member 9  ,sp|Q91WN1|DNJC9_MOUSE,Q91WN1,Dnajc9,0.02,0.933,0.12,0.72,0.11,0.799,0.35,0.905,108671
Dolichol-phosphate mannosyltransferase  ,sp|O70152|DPM1_MOUSE,O70152,Dpm1,0.57,0.024,-0.3,0.5,0.51,0.221,0.74,0.068,13480
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit  ,sp|O54734|OST48_MOUSE,O54734,Ddost,-0.24,0.414,-0.03,0.498,0.09,0.327,-0.56,0.859,13200
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1  ,sp|Q91YQ5|RPN1_MOUSE,Q91YQ5,Rpn1,-0.38,0.077,-0.26,0.014,-0.33,0.376,-0.25,0.982,103963
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2  ,sp|Q9DBG6|RPN2_MOUSE,Q9DBG6,Rpn2,-0.48,0.073,-0.17,0.141,-0.55,0.047,-0.59,0.141,20014
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1  ,sp|P61804|DAD1_MOUSE,P61804,Dad1,0.05,0.745,0.22,0.76,-0.09,0.984,-0.15,0.911,13135
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A  ,sp|P46978|STT3A_MOUSE,P46978,Stt3a,-0.08,0.741,0.05,0.628,-0.25,0.329,-0.23,0.701,16430
Dolichyl-phosphate beta-glucosyltransferase  ,sp|Q9DB25|ALG5_MOUSE,Q9DB25,Alg5,-0.34,0.128,-0.2,0.259,-0.28,0.167,-0.47,0.525,66248
Double-strand break repair protein MRE11A  ,sp|Q61216|MRE11_MOUSE,Q61216,Mre11a,-0.16,0.299,-0.23,0.271,-0.47,0.282,-0.73,0.698,17535
Double-strand-break repair protein rad21 homolog  ,sp|Q61550|RAD21_MOUSE,Q61550,Rad21,0.14,0.663,0.19,0.227,0.21,0.261,-0.15,0.955,19357
Double-stranded RNA-binding protein Staufen homolog 1  ,sp|Q9Z108|STAU1_MOUSE,Q9Z108,Stau1,0.18,0.573,0.19,0.532,0.15,0.882,0.41,0.611,20853
Down syndrome critical region protein 3 homolog  ,sp|O35075|DSCR3_MOUSE,O35075,Dscr3,0.12,0.62,-0.06,0.281,0.04,0.981,0.12,0.577,13185
Dr1-associated corepressor  ,sp|Q9D6N5|NC2A_MOUSE,Q9D6N5,Drap1,0.13,0.415,-0.06,0.819,-0.07,0.45,-0.05,0.178,66556
Dual specificity mitogen-activated protein kinase kinase 1  ,sp|P31938|MP2K1_MOUSE,P31938,Map2k1,-0.26,0.244,-0.33,0.303,0.06,0.987,0.14,0.524,26395
Dual specificity mitogen-activated protein kinase kinase 2  ,sp|Q63932|MP2K2_MOUSE,Q63932,Map2k2,-0.01,0.946,-0.05,0.847,0.05,0.703,0.3,0.231,26396
Dual specificity mitogen-activated protein kinase kinase 3  ,sp|O09110|MP2K3_MOUSE,O09110,Map2k3,0,0.996,0.02,0.322,-0.79,0.766,-1.24,0.214,26397
Dual specificity mitogen-activated protein kinase kinase 4  ,sp|P47809|MP2K4_MOUSE,P47809,Map2k4,-0.2,0.348,0.14,0.846,-0.39,0.773,-0.55,0.289,26398
Dual specificity mitogen-activated protein kinase kinase 6  ,sp|P70236|MP2K6_MOUSE,P70236,Map2k6,-0.01,0.96,-0.04,0.984,-0.12,0.512,0.07,0.944,26399
Dual specificity protein kinase CLK3  ,sp|O35492|CLK3_MOUSE,O35492,Clk3,0.14,0.418,-0.01,0.881,0.19,0.633,0.36,0.34,102414
Dual specificity protein phosphatase 3  ,sp|Q9D7X3|DUS3_MOUSE,Q9D7X3,Dusp3,0.18,0.379,-0.2,0.476,0.65,0.436,1.25,0.206,72349
Dual specificity protein phosphatase 6  ,sp|Q9DBB1|DUS6_MOUSE,Q9DBB1,Dusp6,0.03,0.855,0.12,0.645,-0.07,0.812,-0.01,0.519,67603
Dynactin subunit 2  ,sp|Q99KJ8|DCTN2_MOUSE,Q99KJ8,Dctn2,-0.22,0.278,0,0.802,0.14,0.783,0.4,0.32,69654
Dynactin subunit 3  ,sp|Q9Z0Y1|DCTN3_MOUSE,Q9Z0Y1,Dctn3,-0.17,0.309,-0.26,0.336,-0.08,0.25,0.15,0.934,53598
Dynactin subunit 5  ,sp|Q9QZB9|DCTN5_MOUSE,Q9QZB9,Dctn5,0.2,0.298,0.2,0.429,0.08,0.728,0.03,0.488,59288
Dynactin subunit 6  ,sp|Q9WUB4|DCTN6_MOUSE,Q9WUB4,Dctn6,-0.06,0.703,-0.01,0.767,0.07,0.466,0.28,0.731,22428
Dynamin-2  ,sp|P39054|DYN2_MOUSE,P39054,Dnm2,-0.08,0.672,-0.15,0.786,-0.28,0.307,-0.39,0.177,13430
"Dynamin-like 120 kDa protein, mitochondrial  ",sp|P58281|OPA1_MOUSE,P58281,Opa1,-0.16,0.559,-0.36,0.247,0.22,0.37,-0.1,0.778,74143
"Dynein light chain 1, cytoplasmic  ",sp|P63168|DYL1_MOUSE,P63168,Dynll1,0.07,0.793,-0.58,0.073,-0.16,0.782,-0.48,0.085,56455
"Dynein light chain 2, cytoplasmic  ",sp|Q9D0M5|DYL2_MOUSE,Q9D0M5,Dynll2,-0.16,0.52,0.04,0.838,-0.58,0.831,-1.2,0.969,68097
Dynein light chain roadblock-type 1  ,sp|P62627|DLRB1_MOUSE,P62627,Dynlrb1,-0.22,0.234,-0.42,0.076,0.01,0.508,0.05,0.177,67068
Dystroglycan  ,sp|Q62165|DAG1_MOUSE,Q62165,Dag1,0.07,0.721,-0.03,0.993,0.17,0.883,0.36,0.31,13138
Dystrophin  ,sp|P11531|DMD_MOUSE,P11531,Dmd,0.19,0.47,-0.05,0.405,0.17,0.214,0.17,0.403,13405
E3 SUMO-protein ligase PIAS1  ,sp|O88907|PIAS1_MOUSE,O88907,Pias1,-0.22,0.455,-0.29,0.207,-0.66,0.596,-1.49,0.65,56469
E3 SUMO-protein ligase RanBP2  ,sp|Q9ERU9|RBP2_MOUSE,Q9ERU9,Ranbp2,0.09,0.603,0.01,0.612,0.07,0.688,0.2,0.446,19386
E3 ubiquitin/ISG15 ligase TRIM25  ,sp|Q61510|TRI25_MOUSE,Q61510,Trim25,0.12,0.538,-0.05,0.776,-0.09,0.354,0.33,0.681,217069
E3 ubiquitin-protein ligase ARIH1  ,sp|Q9Z1K5|ARI1_MOUSE,Q9Z1K5,Arih1,-0.23,0.454,-0.15,0.59,0.26,0.471,0.24,0.831,23806
E3 ubiquitin-protein ligase ARIH2  ,sp|Q9Z1K6|ARI2_MOUSE,Q9Z1K6,Arih2,0.04,0.819,0.11,0.971,0.14,0.716,0.29,0.158,23807
E3 ubiquitin-protein ligase BRE1A  ,sp|Q5DTM8|BRE1A_MOUSE,Q5DTM8,Rnf20,0.42,0.124,0.28,0.52,0.37,0.056,0.54,0.047,109331
E3 ubiquitin-protein ligase BRE1B  ,sp|Q3U319|BRE1B_MOUSE,Q3U319,Rnf40,0.58,0.015,0.38,0.259,0.26,0.569,0.38,0.737,233900
E3 ubiquitin-protein ligase CBL  ,sp|P22682|CBL_MOUSE,P22682,Cbl,-0.04,0.905,0.16,0.544,-1.02,0.192,-1.48,0.605,12402
E3 ubiquitin-protein ligase DTX3L  ,sp|Q3UIR3|DTX3L_MOUSE,Q3UIR3,Dtx3l,0.21,0.316,0.09,0.47,0.08,0.578,-0.02,0.531,209200
E3 ubiquitin-protein ligase HECTD1  ,sp|Q69ZR2|HECD1_MOUSE,Q69ZR2,Hectd1,0.18,0.536,-0.39,0.29,-0.26,0.158,-0.24,0.766,207304
E3 ubiquitin-protein ligase HECTD3  ,sp|Q3U487|HECD3_MOUSE,Q3U487,Hectd3,-0.1,0.526,0.04,0.998,-0.13,0.951,-0.28,0.955,76608
E3 ubiquitin-protein ligase HUWE1  ,sp|Q7TMY8|HUWE1_MOUSE,Q7TMY8,Huwe1,0.14,0.401,0.06,0.329,-0.01,0.988,-0.3,0.302,59026
E3 ubiquitin-protein ligase KCMF1  ,sp|Q80UY2|KCMF1_MOUSE,Q80UY2,Kcmf1,1.05,0.018,0.49,0.188,0.48,0.172,0.37,0.333,74287
E3 ubiquitin-protein ligase LRSAM1  ,sp|Q80ZI6|LRSM1_MOUSE,Q80ZI6,Lrsam1,0.33,0.087,0.28,0.284,0.28,0.158,0.51,0.168,227738
E3 ubiquitin-protein ligase MIB1  ,sp|Q80SY4|MIB1_MOUSE,Q80SY4,Mib1,-0.12,0.527,-0.05,0.476,0.08,0.783,0.31,0.803,225164
E3 ubiquitin-protein ligase NEDD4  ,sp|P46935|NEDD4_MOUSE,P46935,Nedd4,-0.21,0.296,-0.58,0.247,-0.02,0.705,0.13,0.575,17999
E3 ubiquitin-protein ligase RBX1  ,sp|P62878|RBX1_MOUSE,P62878,Rbx1,-0.1,0.778,-0.12,0.624,-0.03,0.426,-0.43,0.801,56438
E3 ubiquitin-protein ligase RING1  ,sp|O35730|RING1_MOUSE,O35730,Ring1,0.2,0.38,0.23,0.385,0.29,0.228,0.41,0.015,19763
E3 ubiquitin-protein ligase RING2  ,sp|Q9CQJ4|RING2_MOUSE,Q9CQJ4,Rnf2,-0.15,0.562,0.06,0.397,-0.17,0.716,-0.86,0.235,19821
E3 ubiquitin-protein ligase RNF25  ,sp|Q9QZR0|RNF25_MOUSE,Q9QZR0,Rnf25,0.06,0.736,-0.04,0.674,0.11,0.929,0.02,0.229,57751
E3 ubiquitin-protein ligase TRIM32  ,sp|Q8CH72|TRI32_MOUSE,Q8CH72,Trim32,-0.09,0.596,0.29,0.507,0.14,0.982,0.17,0.512,69807
E3 ubiquitin-protein ligase TRIM56  ,sp|Q80VI1|TRI56_MOUSE,Q80VI1,Trim56,0.62,0.031,0.83,0.068,0.38,0.077,0.24,0.013,384309
E3 ubiquitin-protein ligase TRIP12  ,sp|G5E870|TRIPC_MOUSE,G5E870,Trip12,-0.02,0.906,0.15,0.774,-0.39,0.8,-0.25,0.403,14897
E3 ubiquitin-protein ligase UBR1  ,sp|O70481|UBR1_MOUSE,O70481,Ubr1,-0.23,0.424,-0.34,0.244,-0.22,0.417,-0.35,0.868,22222
E3 ubiquitin-protein ligase UBR4  ,sp|A2AN08|UBR4_MOUSE,A2AN08,Ubr4,0.05,0.851,0.17,0.375,0.08,0.476,0.04,0.195,69116
E3 ubiquitin-protein ligase UBR5  ,sp|Q80TP3|UBR5_MOUSE,Q80TP3,Ubr5,0.53,0.164,0.47,0.326,0.33,0.118,0.1,0.028,70790
E3 ubiquitin-protein ligase XIAP  ,sp|Q60989|XIAP_MOUSE,Q60989,Xiap,1.07,0.117,2,0.043,0.37,0.255,0.05,0.391,11798
E3 ubiquitin-protein ligase ZFP91  ,sp|Q62511|ZFP91_MOUSE,Q62511,Zfp91,0.51,0.24,0.51,0.17,0.14,0.252,-0.61,0.215,109910
E3 UFM1-protein ligase 1  ,sp|Q8CCJ3|UFL1_MOUSE,Q8CCJ3,Ufl1,0.21,0.265,0.15,0.232,-0.31,0.965,-0.49,0.446,67490
